Score,Model,Data
0.46405454846752137,Latitude,OG
0.25757940805272284,Latitude,OG
0.49655408133508205,Latitude,OG
0.35538399650310504,Latitude,OG
0.46220063577126635,Latitude,OG
0.2901763676733936,Latitude,OG
0.3183888484928842,Latitude,OG
0.20745156633760864,Latitude,OG
0.3896676497415352,Latitude,OG
0.32233467703603047,Latitude,OG
0.3112387933035189,Latitude,OG
0.40178080193758214,Latitude,OG
0.04830646878820388,Latitude,OG
0.39957531170333427,Latitude,OG
0.4190418996297879,Latitude,OG
0.44406860288236194,Latitude,OG
0.1877138924755165,Latitude,OG
0.4727883717696435,Latitude,OG
0.4782255460054733,Latitude,OG
0.550325275566138,Latitude,OG
0.749125996741026,Longitude,OG
0.6967764228114277,Longitude,OG
0.739324313626198,Longitude,OG
0.8448427063114462,Longitude,OG
0.8605602066202049,Longitude,OG
0.8337004149951133,Longitude,OG
0.7333741763611916,Longitude,OG
0.7930375672272906,Longitude,OG
0.7279857778907495,Longitude,OG
0.6800076858606801,Longitude,OG
0.6832388387069053,Longitude,OG
0.7426235519412685,Longitude,OG
0.6112502288223656,Longitude,OG
0.8013616503676246,Longitude,OG
0.6557201579149945,Longitude,OG
0.7229513543401731,Longitude,OG
0.7172191176488238,Longitude,OG
0.6727114666252745,Longitude,OG
0.7141253404502316,Longitude,OG
0.7608876030866358,Longitude,OG
0.8512751880317297,Depth (m),OG
0.8701807307541418,Depth (m),OG
0.9589711628256249,Depth (m),OG
0.901065449562164,Depth (m),OG
0.8956713012547524,Depth (m),OG
0.8480481928257293,Depth (m),OG
0.7011887706267054,Depth (m),OG
0.9103169030640867,Depth (m),OG
0.9401723654012104,Depth (m),OG
0.6674150494627484,Depth (m),OG
0.8090114029238575,Depth (m),OG
0.2821407353109082,Depth (m),OG
0.6273015605581889,Depth (m),OG
0.6789939086716086,Depth (m),OG
0.6818934171545283,Depth (m),OG
0.8877203708698926,Depth (m),OG
0.884155915788067,Depth (m),OG
0.9516666644967381,Depth (m),OG
0.9125376624232742,Depth (m),OG
0.77065569033218,Depth (m),OG
0.7999520828997103,Temperature (°C),OG
0.7571935631772341,Temperature (°C),OG
0.895868676365396,Temperature (°C),OG
0.8177949151254499,Temperature (°C),OG
0.8411804616631204,Temperature (°C),OG
0.902750932771218,Temperature (°C),OG
0.7850085039388208,Temperature (°C),OG
0.6784211328793859,Temperature (°C),OG
0.8651053922078619,Temperature (°C),OG
0.8105178563901249,Temperature (°C),OG
0.8143040635308871,Temperature (°C),OG
0.840768002715719,Temperature (°C),OG
0.8729994774435176,Temperature (°C),OG
0.6425823624053459,Temperature (°C),OG
0.574204444323444,Temperature (°C),OG
0.4762835546400742,Temperature (°C),OG
0.8403432475060957,Temperature (°C),OG
0.7679506531960588,Temperature (°C),OG
0.7378191453022511,Temperature (°C),OG
0.5918587022650186,Temperature (°C),OG
0.204171544026581,Salinity (PSU),OG
0.4830516929005614,Salinity (PSU),OG
0.4449691613801101,Salinity (PSU),OG
0.3481999058616706,Salinity (PSU),OG
0.4013213334237058,Salinity (PSU),OG
0.59221326874712,Salinity (PSU),OG
0.35215192235153236,Salinity (PSU),OG
0.21747935707789545,Salinity (PSU),OG
0.3665128163311736,Salinity (PSU),OG
0.37902146210214094,Salinity (PSU),OG
0.4544852667309943,Salinity (PSU),OG
0.3966794584937682,Salinity (PSU),OG
0.15583675510722172,Salinity (PSU),OG
0.3060514886660556,Salinity (PSU),OG
0.12998286893634092,Salinity (PSU),OG
0.3812806225410663,Salinity (PSU),OG
0.19630500384358296,Salinity (PSU),OG
0.48265700139857937,Salinity (PSU),OG
0.3806499846535052,Salinity (PSU),OG
0.43878237105310935,Salinity (PSU),OG
0.7898940672622485,Oxygen (µmol/kg),OG
0.6212603492533271,Oxygen (µmol/kg),OG
0.6570543391215813,Oxygen (µmol/kg),OG
0.5529524279721938,Oxygen (µmol/kg),OG
0.5520993638798077,Oxygen (µmol/kg),OG
0.7190950439534254,Oxygen (µmol/kg),OG
0.48925562401000366,Oxygen (µmol/kg),OG
0.5959982835500863,Oxygen (µmol/kg),OG
0.6662134385146724,Oxygen (µmol/kg),OG
0.5642883269901902,Oxygen (µmol/kg),OG
0.7197508264721428,Oxygen (µmol/kg),OG
0.6903344607373413,Oxygen (µmol/kg),OG
0.7666156286863703,Oxygen (µmol/kg),OG
0.7016535630750208,Oxygen (µmol/kg),OG
0.6830556599381752,Oxygen (µmol/kg),OG
0.2558653850272543,Oxygen (µmol/kg),OG
0.6966759506771583,Oxygen (µmol/kg),OG
0.6105880569599772,Oxygen (µmol/kg),OG
0.8497109868713332,Oxygen (µmol/kg),OG
0.43791678607755813,Oxygen (µmol/kg),OG
0.620816682113903,Nitrates (µmol/L),OG
0.8131315746755208,Nitrates (µmol/L),OG
0.5097317981723678,Nitrates (µmol/L),OG
0.7797107686170467,Nitrates (µmol/L),OG
0.768820399244789,Nitrates (µmol/L),OG
0.6513844396933044,Nitrates (µmol/L),OG
0.8092433953688607,Nitrates (µmol/L),OG
0.6470186774009046,Nitrates (µmol/L),OG
0.8521736626006906,Nitrates (µmol/L),OG
0.8373028163716305,Nitrates (µmol/L),OG
0.7625030487948768,Nitrates (µmol/L),OG
0.7674409667778386,Nitrates (µmol/L),OG
0.7710896400113068,Nitrates (µmol/L),OG
0.7235084743439202,Nitrates (µmol/L),OG
0.49714608800480176,Nitrates (µmol/L),OG
0.7721426237176592,Nitrates (µmol/L),OG
0.7484808688678611,Nitrates (µmol/L),OG
0.7860796901755451,Nitrates (µmol/L),OG
0.4180712734690004,Nitrates (µmol/L),OG
0.5805875991574679,Nitrates (µmol/L),OG
-0.22347122102817707,NO2 (µmol/L),OG
0.11376674474663317,NO2 (µmol/L),OG
0.08674008545232115,NO2 (µmol/L),OG
-0.06020360520894674,NO2 (µmol/L),OG
0.17133881621154579,NO2 (µmol/L),OG
0.2894397686423301,NO2 (µmol/L),OG
0.32812864203059766,NO2 (µmol/L),OG
0.1216353832451017,NO2 (µmol/L),OG
0.22403564588774372,NO2 (µmol/L),OG
-0.8738376968940111,NO2 (µmol/L),OG
-0.0021547314606380485,NO2 (µmol/L),OG
0.18565874625753742,NO2 (µmol/L),OG
-0.33008666766806316,NO2 (µmol/L),OG
0.3441793855881444,NO2 (µmol/L),OG
-1.707674308365728,NO2 (µmol/L),OG
0.44067776262665925,NO2 (µmol/L),OG
0.29409995218945406,NO2 (µmol/L),OG
-0.8901595095833266,NO2 (µmol/L),OG
-0.5781901105663882,NO2 (µmol/L),OG
0.14812812248106766,NO2 (µmol/L),OG
0.8164289992348281,PO4 (µmol/L),OG
0.7151418330206771,PO4 (µmol/L),OG
0.6452426620171048,PO4 (µmol/L),OG
0.7056929155717933,PO4 (µmol/L),OG
0.6591360230745393,PO4 (µmol/L),OG
0.8428390828656092,PO4 (µmol/L),OG
0.5865025208096486,PO4 (µmol/L),OG
0.7439225573676341,PO4 (µmol/L),OG
0.7211656919263825,PO4 (µmol/L),OG
0.6469089529153446,PO4 (µmol/L),OG
0.5885465894364601,PO4 (µmol/L),OG
0.6087785733795175,PO4 (µmol/L),OG
0.7427990860932026,PO4 (µmol/L),OG
0.7822826735709681,PO4 (µmol/L),OG
0.5359856272226449,PO4 (µmol/L),OG
0.8218928340960606,PO4 (µmol/L),OG
0.6843900222771939,PO4 (µmol/L),OG
0.8707852084059513,PO4 (µmol/L),OG
0.5617429294189868,PO4 (µmol/L),OG
0.9332824739876271,PO4 (µmol/L),OG
0.8108108108108109,Environmental Feature,OG
0.8378378378378378,Environmental Feature,OG
0.4864864864864865,Environmental Feature,OG
0.7027027027027027,Environmental Feature,OG
0.7297297297297297,Environmental Feature,OG
0.7027027027027027,Environmental Feature,OG
0.6756756756756757,Environmental Feature,OG
0.7837837837837838,Environmental Feature,OG
0.7297297297297297,Environmental Feature,OG
0.6756756756756757,Environmental Feature,OG
0.6756756756756757,Environmental Feature,OG
0.7027027027027027,Environmental Feature,OG
0.8108108108108109,Environmental Feature,OG
0.7837837837837838,Environmental Feature,OG
0.8378378378378378,Environmental Feature,OG
0.8108108108108109,Environmental Feature,OG
0.6486486486486487,Environmental Feature,OG
0.7297297297297297,Environmental Feature,OG
0.7297297297297297,Environmental Feature,OG
0.7837837837837838,Environmental Feature,OG
0.7297297297297297,Biome,OG
0.7027027027027027,Biome,OG
0.7837837837837838,Biome,OG
0.8918918918918919,Biome,OG
0.8108108108108109,Biome,OG
0.5945945945945946,Biome,OG
0.7297297297297297,Biome,OG
0.7567567567567568,Biome,OG
0.8648648648648649,Biome,OG
0.7027027027027027,Biome,OG
0.7027027027027027,Biome,OG
0.7837837837837838,Biome,OG
0.7027027027027027,Biome,OG
0.7567567567567568,Biome,OG
0.7567567567567568,Biome,OG
0.7837837837837838,Biome,OG
0.7567567567567568,Biome,OG
0.7297297297297297,Biome,OG
0.8378378378378378,Biome,OG
0.6216216216216216,Biome,OG
0.6216216216216216,Region,OG
0.8918918918918919,Region,OG
0.7297297297297297,Region,OG
0.7567567567567568,Region,OG
0.7837837837837838,Region,OG
0.918918918918919,Region,OG
0.7027027027027027,Region,OG
0.7567567567567568,Region,OG
0.7567567567567568,Region,OG
0.7567567567567568,Region,OG
0.6756756756756757,Region,OG
0.7297297297297297,Region,OG
0.6756756756756757,Region,OG
0.7837837837837838,Region,OG
0.8108108108108109,Region,OG
0.7567567567567568,Region,OG
0.6756756756756757,Region,OG
0.7297297297297297,Region,OG
0.8108108108108109,Region,OG
0.8378378378378378,Region,OG
