OTU,p_value,Model
JX016471.1.1438,0.36160640197198657,Latitude
EU803140.1.1451,0.3667754612154016,Latitude
U65915.1.1495,0.3799791846618444,Latitude
JN177645.1.1488,0.336513225653265,Latitude
AMWC01000015.440.1882,0.0796323401648581,Longitude
HM142476.1.1504,0.26440901874988776,Longitude
DQ860069.1.1449,0.3541285447399778,Longitude
JF263530.1.1458,0.3880961530744718,Longitude
HQ673842.1.1462,0.3969511523911157,Depth (m)
HQ672526.1.1481,0.40385677317843904,Depth (m)
HQ673189.1.1515,0.4171003536388858,Depth (m)
KC465608.1.1353,0.42319847341203815,Depth (m)
HQ672672.1.1475,0.35084375205045587,Temperature (°C)
HQ163255.1.1374,0.37238977379568183,Temperature (°C)
GU234872.1.1374,0.3753050097307824,Temperature (°C)
GQ347814.1.1378,0.39203462878111833,Temperature (°C)
AB247277.1.1510,0.345422326450217,Salinity (PSU)
EU010217.1.1417,0.33570729581357717,Salinity (PSU)
EU803115.1.1438,0.3220342629257493,Salinity (PSU)
EF574858.1.1510,0.3888353456795495,Salinity (PSU)
HQ673087.1.1481,0.24260335383028736,Oxygen (µmol/kg)
GQ347099.1.1399,0.3298873089305234,Oxygen (µmol/kg)
HQ674127.1.1481,0.37561605624864686,Oxygen (µmol/kg)
GQ351147.1.1502,0.3924514801905143,Oxygen (µmol/kg)
AY726915.1.1256,0.27072029230999917,Nitrates (µmol/L)
GU061808.1.1437,0.39349613136517403,Nitrates (µmol/L)
HQ672575.1.1509,0.41159347132542157,Nitrates (µmol/L)
HQ673411.1.1502,0.42339552687304877,Nitrates (µmol/L)
EU133354.1.1318,0.3806151063106118,NO2 (µmol/L)
JN615862.1.1361,0.34551027456572797,NO2 (µmol/L)
JF344562.1.1481,0.40809396665617315,NO2 (µmol/L)
AACY020288370.770.2267,0.4116489377387258,NO2 (µmol/L)
EU803047.1.1407,0.34990179533503696,PO4 (µmol/L)
HQ673213.1.1504,0.36158179729502565,PO4 (µmol/L)
HQ673411.1.1502,0.36926800411524097,PO4 (µmol/L)
EU802865.1.1431,0.37388392672672566,PO4 (µmol/L)
HQ673322.1.1521,0.45455053797021616,Environmental Feature
AB278147.1.1521,0.4593577934319956,Environmental Feature
HQ529861.1.913,0.4605595230766425,Environmental Feature
HQ673228.1.1451,0.45817537576234413,Environmental Feature
FJ744842.1.1329,0.4439125778219445,Biome
GU119298.1.1407,0.4427871105350458,Biome
HQ242348.1.1434,0.4461479742570343,Biome
JX016471.1.1438,0.4454432853527332,Biome
JF263530.1.1458,0.43500760104015046,Region
AY664169.1.1279,0.4421063517922479,Region
AMWC01000015.440.1882,0.4413000623520237,Region
HQ673137.1.1450,0.4410365777812614,Region
